id;titulo;ano;diretor;duracao;generos;pais;orcamento;receita;nota_imdb;ator_1;ator_2;ator_3
tt0000009;Miss Jerry;1894;Alexander Black;45;Romance;USA;NA;NA;5,9;Blanche Bayliss; William Courtenay; Chauncey Depew
tt0002101;Cleopatra;1912;Charles L. Gaskill;100;Drama| History;USA;45000;NA;5,2;Helen Gardner; Pearl Sindelar; Miss Fielding
tt0002199;"From the Manger to the Cross; or, Jesus of Nazareth";1912;Sidney Olcott;60;Biography| Drama;USA;NA;NA;5,7;R. Henderson Bland; Percy Dyer; Gene Gauntier
tt0003167;Amore di madre;1914;D.W. Griffith;55;Drama;USA;NA;NA;5,8;Henry B. Walthall; Josephine Crowell; Lillian Gish
tt0003471;Traffic in Souls;1913;George Loane Tucker;88;Crime| Drama;USA;5700;NA;6,0;Jane Gail; Ethel Grandin; William H. Turner
tt0003643;The Avenging Conscience: or 'Thou Shalt Not Kill';1914;D.W. Griffith;78;Crime| Drama| Horror;USA;NA;NA;6,4;Henry B. Walthall; Spottiswoode Aitken; Blanche Sweet
tt0003657;The Bargain;1914;Reginald Barker;70;Western;USA;NA;NA;6,5;William S. Hart; J. Frank Burke; Clara Williams
tt0003772;Cinderella;1914;James Kirkwood;52;Fantasy| Drama;USA;NA;NA;6,0;Mary Pickford; Owen Moore; Isabel Vernon
tt0003973;A Florida Enchantment;1914;Sidney Drew;63;Comedy;USA;NA;NA;5,8;Sidney Drew; Edith Storey; Charles Kent
tt0004099;His Majesty, the Scarecrow of Oz;1914;J. Farrell MacDonald;59;Family| Fantasy| Adventure;USA;23500;NA;5,2;Violet MacMillan; Frank Moore; Pierre Couderc
tt0004134;Hypocrites;1915;Lois Weber;54;Drama;USA;NA;NA;6,6;Courtenay Foote; Myrtle Stedman; Herbert Standing
tt0004181;Judith of Bethulia;1914;D.W. Griffith;61;Drama;USA;40000;NA;6,1;Blanche Sweet; Henry B. Walthall; Mae Marsh
tt0004457;The Patchwork Girl of Oz;1914;J. Farrell MacDonald;81;Adventure| Family| Fantasy;USA;NA;NA;5,5;Violet MacMillan; Frank Moore; Raymond Russell
tt0004465;The Perils of Pauline;1914;Louis J. Gasnier, Donald MacKenzie;199;Action| Adventure| Drama;USA;25000;NA;6,3;Pearl White; Crane Wilbur; Paul Panzer
tt0004635;The Squaw Man;1914;Oscar Apfel, Cecil B. DeMille;74;Action| Drama| Romance;USA;20000;NA;5,7;Dustin Farnum; Monroe Salisbury; Winifred Kingston
tt0004681;La madonnina del porto;1914;Edwin S. Porter;80;Drama;USA;10000;NA;6,1;Mary Pickford; Harold Lockwood; Olive Carey
tt0004707;Tillie's Punctured Romance;1914;Mack Sennett, Charles Bennett;82;Comedy;USA;50000;NA;6,3;Marie Dressler; Charles Chaplin; Mabel Normand
tt0004743;Uncle Tom's Cabin;1914;William Robert Daly;54;Drama;USA;NA;NA;5,3;Sam Lucas; Walter Hitchcock; Hattie Delaro
tt0004766;The Virginian;1914;Cecil B. DeMille;55;Western;USA;17022;NA;5,6;Dustin Farnum; Jack W. Johnston; Sydney Deane
tt0004825;The Wishing Ring: An Idyll of Old England;1914;Maurice Tourneur;54;Comedy| Drama;USA;NA;NA;6,4;Vivian Martin; Alec B. Francis; Chester Barnett
tt0004838;The Wrath of the Gods;1914;Reginald Barker;56;Drama| Romance;USA;NA;NA;5,7;Sessue Hayakawa; Tsuru Aoki; Frank Borzage
tt0004872;Alias Jimmy Valentine;1915;Maurice Tourneur;65;Crime| Drama;USA;NA;NA;6,6;Robert Warwick; Robert Cummings; Alec B. Francis
tt0004873;Alice in Wonderland;1915;W.W. Young;52;Adventure| Family| Fantasy;USA;50000;NA;6,2;Viola Savoy; Herbert Rice; Harry Marks
tt0004972;Nascita di una nazione;1915;D.W. Griffith;195;Drama| History| War;USA;100000;NA;6,3;Henry B. Walthall; Lillian Gish; Mae Marsh
tt0005060;Carmen;1915;Cecil B. DeMille;59;Drama;USA;23430;NA;6,4;Geraldine Farrar; Wallace Reid; Pedro de Cordoba
tt0005078;The Cheat;1915;Cecil B. DeMille;59;Drama| Romance;USA;17311;NA;6,6;Fannie Ward; Sessue Hayakawa; Jack Dean
tt0005149;The Coward;1915;Reginald Barker, Thomas H. Ince;77;Drama| History| War;USA;18000;NA;6,0;Frank Keenan; Charles Ray; Gertrude Claire
tt0005339;La vampira;1915;Frank Powell;67;Drama;USA;NA;NA;5,8;Runa Hodges; Mabel Frenyear; Edward José
tt0005402;The Golden Chance;1915;Cecil B. DeMille;74;Drama;USA;18711;NA;6,4;Cleo Ridgely; Wallace Reid; Horace B. Carpenter
tt0005557;The Italian;1915;Reginald Barker;72;Drama;USA;NA;NA;6,6;George Beban; Clara Williams; J. Frank Burke
tt0005719;Martyrs of the Alamo;1915;Christy Cabanne;71;Drama| History| War;USA;NA;NA;5,6;Sam De Grasse; Allan Sears; Walter Long
tt0005809;The Nigger;1915;Edgar Lewis;50;Drama;USA;NA;NA;6,1;William Farnum; Claire Whitney; George De Carlton
tt0005960;La rigenerazione;1915;Raoul Walsh;72;Biography| Crime| Drama;USA;NA;NA;6,8;John McCann; James A. Marcus; Maggie Weston
tt0006327;Young Romance;1915;George Melford;59;Comedy;USA;NA;NA;5,9;Edith Taliaferro; Florence Dagmar; Tom Forman
tt0006333;20,000 Leagues Under the Sea;1916;Stuart Paton;105;Action| Adventure| Sci-Fi;USA;200000;NA;6,2;Dan Hanlon; Edna Pendleton; Curtis Benton
tt0006509;The Children in the House;1916;Chester M. Franklin, Sidney Franklin;50;Drama;USA;NA;NA;4,5;Norma Talmadge; Alice Wilson; Jewel Carmen
tt0006517;Civilization;1915;Reginald Barker, Thomas H. Ince;85;Drama;USA;NA;NA;6,0;Howard Hickman; Enid Markey; Lola May
tt0006589;The Devil's Needle;1916;Chester Withey;59;Drama;USA;NA;NA;6,8;Tully Marshall; Norma Talmadge; Marguerite Marsh
tt0006688;Flirting with Fate;1916;Christy Cabanne;57;Adventure| Comedy;USA;NA;NA;6,4;Douglas Fairbanks; Jewel Carmen; Howard Gaye
tt0006731;Going Straight;1916;Chester M. Franklin, Sidney Franklin;60;Crime| Drama;USA;NA;NA;5,3;Norma Talmadge; Ralph Lewis; Ninon Fovieri
tt0006736;The Good Bad-Man;1916;Allan Dwan;50;Romance| Western;USA;NA;NA;6,6;Douglas Fairbanks; Sam De Grasse; Pomeroy Cannon
tt0006745;Gretchen the Greenhorn;1916;Chester M. Franklin, Sidney Franklin;58;Crime| Drama| Romance;USA;NA;NA;5,7;Dorothy Gish; Ralph Lewis; Eugene Pallette
tt0006753;The Half-Breed;1916;Allan Dwan;73;Western;USA;NA;NA;6,6;Douglas Fairbanks; Alma Rubens; Sam De Grasse
tt0006780;Hell's Hinges;1916;Charles Swickard, William S. Hart;64;Romance| Western;USA;NA;NA;6,8;William S. Hart; Clara Williams; Jack Standing
tt0006809;His Picture in the Papers;1916;John Emerson;62;Comedy;USA;42600;NA;5,9;Douglas Fairbanks; Clarence Handyside; Rene Boucicault
tt0006826;Hoodoo Ann;1916;Lloyd Ingraham;65;Comedy| Drama| Romance;USA;NA;NA;5,6;Mae Marsh; Robert Harron; William H. Brown
tt0006864;Intolerance;1916;D.W. Griffith;163;Drama| History;USA;385907;NA;7,8;Lillian Gish; Mae Marsh; Robert Harron
tt0007047;The Matrimaniac;1916;Paul Powell;46;Comedy| Romance;USA;NA;NA;6,0;Douglas Fairbanks; Constance Talmadge; Wilbur Higby
tt0007257;Reggie Mixes In;1916;Christy Cabanne;50;Action| Comedy| Drama;USA;NA;NA;4,7;Douglas Fairbanks; Bessie Love; Joseph Singleton
tt0007260;The Return of Draw Egan;1916;William S. Hart;50;Action| Adventure| Romance;USA;NA;NA;6,5;William S. Hart; Margery Wilson; Robert McKim
tt0007338;Sherlock Holmes;1916;Arthur Berthelet;116;Mystery;USA;NA;NA;6,4;William Gillette; Marjorie Kay; Ernest Maupain
tt0007340;Shoes;1916;Lois Weber;60;Drama;USA;NA;NA;6,8;Mary MacLaren; Harry Griffith; Mattie Witting
tt0007361;Snow White;1916;J. Searle Dawley;63;Fantasy| Romance;USA;NA;NA;6,2;Dorothy Cumming; Creighton Hale; Lionel Braham
tt0007367;The Social Secretary;1916;John Emerson;52;Comedy| Drama;USA;NA;NA;5,3;Norma Talmadge; Kate Lester; Helen Weir
tt0007558;Where Are My Children?;1916;Phillips Smalley, Lois Weber;62;Drama;USA;NA;NA;6,3;Tyrone Power Sr.; Mrs. Tyrone Power; Marie Walcamp
tt0007610;'49-'17;1917;Ruth Ann Baldwin;61;Drama| Western;USA;NA;NA;5,9;Joseph W. Girard; Leo Pierson; William Dyer
tt0007755;Bucking Broadway;1917;John Ford;53;Western;USA;NA;NA;6,0;Harry Carey; Molly Malone; L.M. Wells
tt0007801;Cleopatra;1917;J. Gordon Edwards;125;Biography| Drama| History;USA;500000;NA;6,5;Theda Bara; Fritz Leiber; Thurston Hall
tt0008011;A Girl's Folly;1917;Maurice Tourneur;65;Comedy;USA;NA;NA;6,1;Robert Warwick; Doris Kenyon; June Elvidge
tt0008150;Joan the Woman;1916;Cecil B. DeMille;138;Adventure| Drama| History;USA;302976;NA;6,5;Geraldine Farrar; Raymond Hatton; Hobart Bosworth
